	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/8/2016 6:21:11	Rowing	4	3
1	7/8/2016 6:21:29	Rowing	5	3
2	7/8/2016 6:21:35	Intro Rowing	4	3
3	7/8/2016 6:21:46	Rowing	5	3
4	7/8/2016 6:22:10	Rowing	4	2
5	7/8/2016 6:22:35	Astrnomy	4	4
6	7/8/2016 6:22:50	Intro Rowing	4	4
7	7/8/2016 6:23:09	Rowing	5	3
8	7/8/2016 6:23:28	Astrnomy	4	4
9	7/8/2016 6:23:49	Intro Rowing	4	4
10	7/8/2016 6:23:50	Astrnomy	4	4
11	7/8/2016 6:24:25	Rowing	4	4
12	7/8/2016 6:26:03	Rowing	4	3
13	7/8/2016 6:26:30	Astrnomy	4	3
14	7/8/2016 6:26:40	Rowing	5	4
15	7/8/2016 6:26:49	Rowing	4	3
16	7/8/2016 6:27:01	Astrnomy	4	4
17	7/8/2016 6:27:14	Astrnomy	5	4
18	7/8/2016 6:27:31	Intro Rowing	4	4
19	7/8/2016 6:27:49	Rowing	4	4
20	7/8/2016 6:28:49	Astrnomy	5	3
21	7/8/2016 6:28:56	Intro Rowing	3	4
22	7/8/2016 6:29:05	Rowing	5	3
23	7/8/2016 6:33:10	Rowing	5	3
24	7/8/2016 6:36:23	Intro Rowing	4	4
25	7/8/2016 6:36:36	Astrnomy	5	3
26	7/8/2016 6:38:24	Astrnomy	5	3
27	7/8/2016 12:14:54	Rowing	4	3
