	Would you Recomend us?	location	Merrit Badge	submit
0	10	New York	Rowing	9/7/16 1:04
1	10	San Francisco	Astronomy	9/7/16 1:04
2	10	New York	Astronomy	9/7/16 1:05
3	9	Sunnyvale	cannoeing	9/7/16 1:06
4	3	San Francisco	Astronomy	9/7/16 1:11
5	10	San Francisco	Rowing	9/7/16 1:13
6	8	San Francisco	Rowing	9/7/16 1:14
7	3	New York	Games	9/7/16 1:15
8	6	Singapore	Rowing	9/7/16 1:21
9	9	New York	Games	9/7/16 1:27
10	10	Sunnyvale	Games	9/7/16 1:29
11	10	San Francisco	Comuter Programing	9/7/16 1:33
12	8	San Francisco	Astronomy	9/7/16 1:36
13	8	Sunnyvale	Rowing	9/7/16 1:50
14	8	Los Angeles	Games	9/7/16 1:51
15	10	San Francisco	Rowing	9/7/16 2:33
16	9	Sunnyvale	Games	9/7/16 2:41
17	10	New York	Games	9/7/16 2:43
18	7	Singapore	Rowing	9/7/16 2:50
19	10	San Francisco	Astronomy	9/7/16 2:56
20	10	San Francisco	Rowing	9/7/16 2:59
21	10	Sunnyvale	Games	9/7/16 3:01
22	4	New York	Astronomy	9/7/16 3:08
23	9	San Francisco	Games	9/7/16 3:31
24	10	Sunnyvale	Games	9/7/16 3:31
25	9	Sunnyvale	Rowing	9/7/16 3:42
26	10	San Francisco	Astronomy	9/7/16 4:05
27	10	Sunnyvale	Rowing	9/7/16 4:10
28	7	Sunnyvale	Games	9/7/16 4:21
29	10	San Francisco	Games	9/7/16 5:43
30	9	Sunnyvale	Rowing	9/7/16 6:40
31	8	Sunnyvale	Rowing	9/7/16 7:58
32	5	Sunnyvale	Games	9/7/16 10:52
33	8	Singapore	Rowing	9/7/16 11:49
34	9	Singapore	Rowing	9/7/16 12:26
35	9	Singapore	Rowing	9/7/16 12:26
36	10	San Francisco	Rowing	9/7/16 12:48
37	10	New York	Astronomy	9/7/16 13:10
38	9	San Francisco	cannoeing	9/7/16 14:40
39	10	New York	Rowing	9/7/16 14:54
40	8	Sunnyvale	Rowing	9/7/16 15:58
41	10	San Francisco	Rowing	9/7/16 17:21
42	9	San Francisco	Comuter Programing	9/7/16 19:25
43	7	New York	cannoeing	9/7/16 19:26
44	10	San Francisco	Rowing	9/7/16 19:40
45	10	Los Angeles	Games	9/7/16 19:57
46	10	Sunnyvale	Astronomy	9/8/16 0:00
47	8	New York	Rowing	9/8/16 0:58
48	10	San Francisco	Games	9/8/16 1:59
49	7	Sunnyvale	Rowing	9/8/16 6:04
50	10	Los Angeles	Games	9/8/16 14:27
51	8	San Francisco	Games	9/8/16 22:06
52	8	New York	Rowing	9/8/16 22:20
53	10	San Francisco	Rowing	9/8/16 23:07
54	7	San Francisco	Rowing	9/8/16 23:11
55	7	San Francisco	Astronomy	9/9/16 1:42
56	10	San Francisco	Astronomy	9/9/16 4:25
57	9	San Francisco	Rowing	9/9/16 11:09
58	10	New York	Games	9/9/16 13:28
59	8	San Francisco	Games	9/10/16 22:30
60	9	San Francisco	Rowing	9/12/16 0:13
61	5	San Francisco	Comuter Programing	9/13/16 4:42
62	10	San Francisco	Games	9/13/16 20:13
63	9	San Francisco	Astronomy	9/14/16 12:10
64	9	Sunnyvale	Games	9/26/16 16:34
