,no_name,merit badge,Timestamp,rateing,pace,week_num,location
0,0,rowing,7/29/2016 15:17:19,4,3,6,SF
1,1,rowing,7/29/2016 16:21:52,3,4,6,SF
2,2,rowing,7/29/2016 16:22:54,2,3,6,SF
3,3,rowing,7/29/2016 16:54:46,4,3,6,SF
4,4,rowing,7/29/2016 22:40:39,3,4,6,SF
5,5,rowing,7/31/2016 23:10:54,5,3,6,SF
6,6,rowing,7/30/2016 11:06:02,1,3,6,SF
7,7,rowing,7/29/2016 15:23:30,3,3,6,SF
8,8,rowing,7/29/2016 15:29:56,5,3,6,SF
9,9,rowing,7/29/2016 15:34:35,4,3,6,SF
10,10,rowing,7/29/2016 15:25:23,5,3,6,SF
11,11,astronomy,7/29/2016 15:17:52,5,3,6,SF
12,12,astronomy,7/29/2016 15:14:11,5,3,6,SF
13,13,astronomy,7/29/2016 15:13:01,4,3,6,SF
14,14,astronomy,7/29/2016 17:07:36,5,4,6,SF
15,15,astronomy,7/29/2016 15:50:15,5,4,6,SF
16,16,astronomy,7/29/2016 15:36:20,3,4,6,SF
17,17,rowing,7/29/2016 18:46:09,5,3,6,SF
18,18,rowing,7/29/2016 16:09:44,5,3,6,SF
19,19,rowing,7/29/2016 15:00:35,3,4,6,SF
20,20,rowing,7/29/2016 15:02:01,5,3,6,SF
21,21,rowing,7/29/2016 15:09:17,5,3,6,SF
22,22,computer programing,7/30/2016 9:00:15,4,3,6,SF
23,23,computer programing,7/29/2016 21:45:54,4,4,6,SF
24,24,computer programing,7/30/2016 13:09:48,4,3,6,SF
